,Rank,DJ Name,Rank Change,Interview URL
65,66,Julian Jordan,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-julian-jordan
66,67,MATTN,Down 25,https://djmag.com/top100djs//top-100-djs/poll-2021-mattn
67,68,Black Coffee,Up 23,https://djmag.com/top100djs//top-100-djs/poll-2021-black-coffee
68,69,Panta Q,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-panta-q
69,70,Mike Williams,Up 20,https://djmag.com/top100djs//top-100-djs/poll-2021-mike-williams
70,71,Deniz Koyu,Up 1,https://djmag.com/top100djs//top-100-djs/poll-2021-deniz-koyu
71,72,Naeleck,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-naeleck
72,73,Brennan Heart,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-brennan-heart
73,74,Kura,Non Mover,https://djmag.com/top100djs//top-100-djs/poll-2021-kura
74,75,Tom & Collins,Up 2,https://djmag.com/top100djs//top-100-djs/poll-2021-tom-collins
75,76,Mr. Pig,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-mr-pig
76,77,FISHER,Down 1,https://djmag.com/top100djs//top-100-djs/poll-2021-fisher
77,78,Virtual Riot,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-virtual-riot
78,79,D.O.D,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-dod
79,80,Plastik Funk,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-plastik-funk
80,81,Green Velvet,Up 5,https://djmag.com/top100djs//top-100-djs/poll-2021-green-velvet
81,82,Burak Yeter,Up 7,https://djmag.com/top100djs//top-100-djs/poll-2021-burak-yeter
82,83,KAAZE,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-kaaze
83,84,Aryue,Up 4,https://djmag.com/top100djs//top-100-djs/poll-2021-aryue
84,85,Cat Dealers,Down 33,https://djmag.com/top100djs//top-100-djs/poll-2021-cat-dealers
85,86,Rave Republic,Down 5,https://djmag.com/top100djs//top-100-djs/poll-2021-rave-republic
86,87,Sunnery James & Ryan Marciano,Non Mover,https://djmag.com/top100djs//top-100-djs/poll-2021-sunnery-james-ryan-marciano
87,88,MaRLo,Re-entry,https://djmag.com/top100djs//top-100-djs/poll-2021-marlo
88,89,Tungevaag,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-tungevaag
89,90,Giftback,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-giftback
90,91,Christina Novelli,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-christina-novelli
91,92,22Bullets,Up 6,https://djmag.com/top100djs//top-100-djs/poll-2021-22bullets
92,93,KAKA,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-kaka
93,94,Blastoyz,Up 3,https://djmag.com/top100djs//top-100-djs/poll-2021-blastoyz
94,95,Florian Picasso,Down 20,https://djmag.com/top100djs//top-100-djs/poll-2021-florian-picasso
95,96,Luminn,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-luminn
96,97,Alexso,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-alexso
97,98,Daddy’s Groove,Re-entry,https://djmag.com/top100djs//top-100-djs/poll-2021-daddy-s-groove
98,99,Dexter King,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-dexter-king
99,100,VIZE,New Entry,https://djmag.com/top100djs//top-100-djs/poll-2021-vize
